         161612884 function calls (161609367 primitive calls) in 197.602 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.007    0.001 C:\Python39\lib\site-packages\pandas\core\arrays\datetimelike.py:386(_concat_same_type)
        7    0.000    0.000    0.006    0.001 C:\Python39\lib\site-packages\pandas\core\arrays\_mixins.py:173(_concat_same_type)
       14    0.000    0.000    0.006    0.000 C:\Python39\lib\site-packages\openpyxl\styles\named_styles.py:106(bind)
      154    0.001    0.000    0.006    0.000 C:\Python39\lib\abc.py:84(__new__)
        7    0.000    0.000    0.006    0.001 C:\Python39\lib\site-packages\pandas\core\series.py:372(_init_dict)
       14    0.000    0.000    0.006    0.000 C:\Python39\lib\site-packages\openpyxl\styles\named_styles.py:114(_recalculate)
        7    0.000    0.000    0.006    0.001 C:\Python39\lib\site-packages\openpyxl\reader\excel.py:122(__init__)
       14    0.000    0.000    0.006    0.000 C:\Python39\lib\site-packages\pandas\io\common.py:491(get_handle)
        7    0.000    0.000    0.006    0.001 C:\Python39\lib\site-packages\openpyxl\reader\excel.py:67(_validate_archive)
     1038    0.001    0.000    0.005    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\base.py:254(is_dtype)
     1694    0.002    0.000    0.005    0.000 C:\Python39\lib\site-packages\openpyxl\descriptors\base.py:140(__set__)
        7    0.000    0.000    0.005    0.001 C:\Python39\lib\site-packages\pandas\core\construction.py:632(create_series_with_explicit_dtype)
      364    0.002    0.000    0.005    0.000 C:\Python39\lib\site-packages\openpyxl\styles\cell_style.py:126(to_array)
      624    0.005    0.000    0.005    0.000 {built-in method __new__ of type object at 0x00007FFD8E815C60}
      196    0.002    0.000    0.005    0.000 C:\Python39\lib\zipfile.py:787(__init__)
        7    0.000    0.000    0.005    0.001 C:\Python39\lib\site-packages\openpyxl\worksheet\worksheet.py:100(_setup)
      147    0.001    0.000    0.005    0.000 C:\Python39\lib\site-packages\openpyxl\worksheet\_reader.py:87(__init__)
2296/1722    0.001    0.000    0.005    0.000 {built-in method builtins.hash}
    27/20    0.000    0.000    0.004    0.000 C:\Python39\lib\copy.py:66(copy)
     4507    0.004    0.000    0.004    0.000 C:\Python39\lib\zipfile.py:1515(<lambda>)
       14    0.000    0.000    0.004    0.000 C:\Python39\lib\site-packages\openpyxl\descriptors\serialisable.py:231(__copy__)
       42    0.000    0.000    0.004    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\missing.py:50(isna)
      140    0.000    0.000    0.004    0.000 C:\Python39\lib\site-packages\openpyxl\worksheet\dimensions.py:294(boundaries)
        7    0.000    0.000    0.004    0.001 C:\Python39\lib\site-packages\openpyxl\workbook\workbook.py:340(add_named_style)
       42    0.000    0.000    0.004    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\missing.py:133(_isna)
       14    0.000    0.000    0.004    0.000 C:\Python39\lib\site-packages\openpyxl\worksheet\header_footer.py:231(__init__)
      152    0.004    0.000    0.004    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        7    0.001    0.000    0.004    0.001 C:\Python39\lib\site-packages\openpyxl\styles\stylesheet.py:154(_normalise_numbers)
      147    0.001    0.000    0.004    0.000 C:\Python39\lib\site-packages\openpyxl\packaging\relationship.py:110(get_rels_path)
      140    0.001    0.000    0.004    0.000 C:\Python39\lib\site-packages\openpyxl\utils\cell.py:126(range_boundaries)
       21    0.000    0.000    0.004    0.000 C:\Python39\lib\site-packages\pandas\compat\_optional.py:60(import_optional_dependency)
      792    0.002    0.000    0.004    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\common.py:1470(is_extension_array_dtype)
      742    0.002    0.000    0.004    0.000 {method 'decode' of 'bytes' objects}
     4375    0.003    0.000    0.003    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\generic.py:30(_check)
       84    0.000    0.000    0.003    0.000 C:\Python39\lib\site-packages\openpyxl\worksheet\header_footer.py:146(__init__)
       14    0.003    0.000    0.003    0.000 {pandas._libs.algos.take_2d_axis0_int64_int64}
      193    0.001    0.000    0.003    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\common.py:573(is_string_dtype)
        7    0.000    0.000    0.003    0.000 C:\Python39\lib\site-packages\openpyxl\reader\excel.py:170(read_properties)
      279    0.001    0.000    0.003    0.000 C:\Python39\lib\site-packages\numpy\core\_dtype.py:321(_name_get)
       14    0.003    0.000    0.003    0.000 {built-in method io.open}
       35    0.000    0.000    0.003    0.000 C:\Python39\lib\site-packages\pandas\core\indexes\base.py:4393(equals)
      154    0.003    0.000    0.003    0.000 C:\Python39\lib\xml\etree\ElementTree.py:1283(__init__)
     1694    0.002    0.000    0.003    0.000 C:\Python39\lib\site-packages\openpyxl\descriptors\base.py:126(__set__)
      174    0.000    0.000    0.003    0.000 {built-in method builtins.any}
      225    0.000    0.000    0.003    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\common.py:1551(_is_dtype)
     4507    0.003    0.000    0.003    0.000 {method '__exit__' of '_thread.RLock' objects}
      252    0.001    0.000    0.003    0.000 C:\Python39\lib\site-packages\openpyxl\worksheet\header_footer.py:93(__init__)
       21    0.000    0.000    0.003    0.000 {method 'sum' of 'numpy.ndarray' objects}
      350    0.001    0.000    0.003    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\common.py:537(is_categorical_dtype)
       83    0.001    0.000    0.003    0.000 C:\Python39\lib\site-packages\pandas\core\internals\blocks.py:127(__init__)
       21    0.000    0.000    0.003    0.000 C:\Python39\lib\site-packages\numpy\core\_methods.py:45(_sum)
      290    0.000    0.000    0.003    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\common.py:463(is_period_dtype)
        7    0.000    0.000    0.002    0.000 C:\Python39\lib\site-packages\pandas\core\series.py:4778(isna)
     2044    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
        7    0.000    0.000    0.002    0.000 C:\Python39\lib\site-packages\pandas\core\generic.py:7416(isna)
      102    0.000    0.000    0.002    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\common.py:602(condition)
        7    0.000    0.000    0.002    0.000 C:\Python39\lib\site-packages\pandas\core\reshape\concat.py:535(_get_new_axes)
        7    0.000    0.000    0.002    0.000 C:\Python39\lib\site-packages\pandas\io\parsers.py:2172(TextParser)
        7    0.000    0.000    0.002    0.000 C:\Python39\lib\site-packages\pandas\core\reshape\concat.py:537(<listcomp>)
      329    0.002    0.000    0.002    0.000 C:\Python39\lib\posixpath.py:71(join)
       21    0.000    0.000    0.002    0.000 C:\Python39\lib\importlib\__init__.py:109(import_module)
      269    0.000    0.000    0.002    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\common.py:499(is_interval_dtype)
        7    0.000    0.000    0.002    0.000 C:\Python39\lib\site-packages\pandas\io\parsers.py:780(__init__)
      196    0.000    0.000    0.002    0.000 C:\Python39\lib\zipfile.py:697(_get_decompressor)
        7    0.000    0.000    0.002    0.000 C:\Python39\lib\site-packages\openpyxl\workbook\child.py:45(__init__)
       67    0.000    0.000    0.002    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\common.py:605(is_excluded_dtype)
      546    0.002    0.000    0.002    0.000 C:\Python39\lib\zipfile.py:343(__init__)
       21    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1018(_gcd_import)
       14    0.000    0.000    0.002    0.000 C:\Python39\lib\site-packages\pandas\io\common.py:210(_get_filepath_or_buffer)
       35    0.000    0.000    0.002    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\missing.py:367(array_equivalent)
       14    0.000    0.000    0.002    0.000 C:\Python39\lib\zipfile.py:256(_EndRecData)
       21    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1002(_find_and_load)
        7    0.000    0.000    0.002    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\concat.py:363(<listcomp>)
       46    0.000    0.000    0.002    0.000 C:\Python39\lib\site-packages\pandas\core\internals\concat.py:451(_select_upcast_cls_from_dtype)
      255    0.001    0.000    0.002    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\dtypes.py:923(is_dtype)
       14    0.000    0.000    0.002    0.000 C:\Python39\lib\site-packages\pandas\core\construction.py:405(ensure_wrapped_if_datetimelike)
       14    0.000    0.000    0.002    0.000 C:\Python39\lib\site-packages\openpyxl\worksheet\views.py:83(__init__)
        7    0.000    0.000    0.002    0.000 C:\Python39\lib\site-packages\pandas\core\internals\concat.py:52(<listcomp>)
       14    0.000    0.000    0.002    0.000 C:\Python39\lib\site-packages\openpyxl\packaging\core.py:81(__init__)
       14    0.001    0.000    0.002    0.000 C:\Python39\lib\site-packages\pandas\core\internals\concat.py:92(_get_mgr_concatenation_plan)
      268    0.000    0.000    0.002    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\common.py:610(<genexpr>)
      140    0.000    0.000    0.002    0.000 C:\Python39\lib\site-packages\openpyxl\packaging\workbook.py:66(__init__)
      196    0.001    0.000    0.002    0.000 C:\Python39\lib\zipfile.py:1031(close)
       14    0.000    0.000    0.002    0.000 C:\Python39\lib\site-packages\pandas\core\arrays\datetimes.py:305(_from_sequence)
        7    0.000    0.000    0.002    0.000 C:\Python39\lib\site-packages\pandas\core\reshape\concat.py:542(_get_comb_axis)
       14    0.000    0.000    0.002    0.000 C:\Python39\lib\site-packages\pandas\core\arrays\datetimes.py:309(_from_sequence_not_strict)
        7    0.000    0.000    0.002    0.000 C:\Python39\lib\site-packages\pandas\core\indexes\api.py:65(get_objs_combined_axis)
      234    0.001    0.000    0.002    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\dtypes.py:1132(is_dtype)
      319    0.001    0.000    0.002    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\common.py:201(is_object_dtype)
      182    0.000    0.000    0.002    0.000 C:\Python39\lib\site-packages\openpyxl\packaging\relationship.py:36(__init__)
        7    0.000    0.000    0.002    0.000 C:\Python39\lib\site-packages\pandas\core\indexes\api.py:109(_get_combined_index)
      799    0.001    0.000    0.002    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\base.py:411(find)
      154    0.001    0.000    0.002    0.000 C:\Python39\lib\posixpath.py:100(split)
      626    0.001    0.000    0.002    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\common.py:1610(_is_dtype_type)
      234    0.000    0.000    0.002    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\common.py:388(is_datetime64tz_dtype)
      210    0.001    0.000    0.002    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\common.py:231(is_sparse)
      196    0.002    0.000    0.002    0.000 {built-in method zlib.decompressobj}
    56/14    0.001    0.000    0.002    0.000 C:\Python39\lib\site-packages\openpyxl\descriptors\serialisable.py:106(to_tree)
        7    0.000    0.000    0.002    0.000 C:\Python39\lib\site-packages\openpyxl\packaging\manifest.py:97(__init__)
       14    0.000    0.000    0.002    0.000 C:\Python39\lib\site-packages\pandas\core\arrays\datetimes.py:1891(sequence_to_dt64ns)
       20    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\core\internals\managers.py:126(__init__)
      161    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\openpyxl\packaging\relationship.py:62(__init__)
        7    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\io\parsers.py:1039(_make_engine)
       13    0.001    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\core\internals\managers.py:232(_rebuild_blknos_and_blklocs)
      154    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
        7    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\openpyxl\reader\excel.py:176(read_theme)
        7    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\io\parsers.py:2237(__init__)
      742    0.001    0.000    0.001    0.000 C:\Python39\lib\encodings\cp437.py:14(decode)
       70    0.000    0.000    0.001    0.000 C:\Python39\lib\distutils\version.py:304(__init__)
       32    0.001    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\core\algorithms.py:1534(_get_take_nd_function)
       32    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\cast.py:542(maybe_promote)
        7    0.001    0.000    0.001    0.000 {built-in method builtins.print}
      308    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\openpyxl\worksheet\pagebreak.py:46(__init__)
      315    0.001    0.000    0.001    0.000 C:\Python39\lib\site-packages\openpyxl\styles\colors.py:131(__set__)
       70    0.001    0.000    0.001    0.000 C:\Python39\lib\distutils\version.py:309(parse)
       83    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\core\internals\blocks.py:269(mgr_locs)
      147    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\openpyxl\worksheet\table.py:347(__init__)
       21    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\io\common.py:81(close)
        7    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\core\indexes\api.py:161(union_indexes)
       14    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\core\internals\managers.py:1577(from_array)
      182    0.001    0.000    0.001    0.000 C:\Python39\lib\posixpath.py:334(normpath)
       14    0.001    0.000    0.001    0.000 {pandas._libs.lib.clean_index_list}
      279    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\numpy\core\_dtype.py:307(_name_includes_bit_suffix)
       14    0.001    0.000    0.001    0.000 {method 'close' of '_io.BufferedReader' objects}
        7    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\core\series.py:4337(reindex)
       49    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\cast.py:1257(maybe_castable)
      196    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\openpyxl\descriptors\base.py:82(__set__)
      140    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\openpyxl\worksheet\dimensions.py:288(__init__)
       20    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\core\internals\managers.py:318(_verify_integrity)
      112    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\openpyxl\descriptors\serialisable.py:184(__ne__)
        7    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\core\generic.py:4564(reindex)
      210    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\openpyxl\packaging\manifest.py:69(__init__)
       35    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\concat.py:24(_get_dtype_kinds)
        7    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\core\generic.py:10858(any)
       14    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\openpyxl\worksheet\views.py:143(__init__)
       65    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\numpy\core\_methods.py:56(_all)
        7    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\core\generic.py:10593(any)
       42    0.001    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\core\internals\concat.py:536(_combine_concat_plans)
     3168    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
       49    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\openpyxl\styles\colors.py:80(__init__)
        7    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\core\generic.py:10565(_logical_func)
      658    0.001    0.000    0.001    0.000 C:\Python39\lib\site-packages\openpyxl\descriptors\serialisable.py:160(__iter__)
       28    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\openpyxl\styles\fills.py:57(from_tree)
      196    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\openpyxl\styles\named_styles.py:76(__setattr__)
       14    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\openpyxl\styles\named_styles.py:51(__init__)
       60    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\core\internals\managers.py:1911(<lambda>)
        7    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\core\series.py:4149(_reduce)
       14    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\openpyxl\workbook\views.py:41(__init__)
      105    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\openpyxl\styles\borders.py:49(__init__)
     2247    0.001    0.000    0.001    0.000 C:\Python39\lib\site-packages\openpyxl\styles\cell_style.py:29(__set__)
       46    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\core\internals\concat.py:199(dtype)
       28    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\openpyxl\styles\fills.py:96(_from_tree)
       21    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\openpyxl\styles\borders.py:87(__init__)
       14    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\io\excel\_base.py:1201(close)
       14    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\core\indexes\api.py:221(<genexpr>)
       70    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\common.py:1341(is_bool_dtype)
       60    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\core\internals\blocks.py:202(_consolidate_key)
      384    0.001    0.000    0.001    0.000 {built-in method numpy.array}
       14    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\openpyxl\workbook\properties.py:100(__init__)
        7    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\openpyxl\styles\stylesheet.py:106(_merge_named_styles)
       66    0.000    0.000    0.001    0.000 {method 'any' of 'numpy.ndarray' objects}
       14    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\io\excel\_openpyxl.py:490(close)
       42    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
       35    0.000    0.000    0.001    0.000 C:\Python39\lib\distutils\version.py:333(_cmp)
       14    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\core\indexes\range.py:85(__new__)
      770    0.001    0.000    0.001    0.000 {built-in method _struct.unpack}
      385    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\openpyxl\styles\cell_style.py:52(__new__)
       14    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\core\generic.py:4797(<genexpr>)
       34    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\numpy\core\_asarray.py:221(require)
       42    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\openpyxl\descriptors\base.py:262(__set__)
       21    0.001    0.000    0.001    0.000 {pandas._libs.ops.maybe_convert_bool}
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:156(__enter__)
        7    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\openpyxl\worksheet\protection.py:75(__init__)
      102    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\numpy\core\numerictypes.py:360(issubdtype)
      266    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
       42    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\numpy\core\_dtype.py:34(__str__)
       46    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\core\internals\concat.py:190(needs_filling)
      415    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
       13    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\core\internals\managers.py:157(blknos)
       51    0.000    0.000    0.001    0.000 {method 'all' of 'numpy.ndarray' objects}
       20    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
        7    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\core\indexes\base.py:4472(identical)
       14    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\io\common.py:108(is_url)
      147    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\openpyxl\worksheet\hyperlink.py:44(__init__)
      133    0.000    0.000    0.001    0.000 {pandas._libs.lib.is_list_like}
      189    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\openpyxl\descriptors\base.py:226(__set__)
       60    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\core\internals\managers.py:206(shape)
       66    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\numpy\core\_methods.py:53(_any)
      241    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\numpy\core\_asarray.py:14(asarray)
        7    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\openpyxl\workbook\properties.py:40(__init__)
        7    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\io\common.py:104(__exit__)
       21    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\io\common.py:154(stringify_path)
       21    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\core\indexes\base.py:6023(_maybe_cast_data_without_dtype)
        7    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\openpyxl\worksheet\properties.py:64(__init__)
      196    0.000    0.000    0.001    0.000 C:\Python39\lib\zipfile.py:746(close)
       14    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\openpyxl\worksheet\dimensions.py:260(__init__)
      140    0.001    0.000    0.001    0.000 C:\Python39\lib\site-packages\openpyxl\packaging\relationship.py:93(__getitem__)
        7    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\openpyxl\styles\named_styles.py:263(names)
       14    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\core\arrays\datetimes.py:2116(maybe_convert_dtype)
      742    0.001    0.000    0.001    0.000 {built-in method _codecs.charmap_decode}
        7    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\openpyxl\packaging\workbook.py:130(__init__)
       14    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\io\excel\_base.py:408(close)
       14    0.000    0.000    0.001    0.000 C:\Python39\lib\urllib\parse.py:372(urlparse)
        7    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\openpyxl\worksheet\page.py:39(__init__)
        7    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\core\arrays\_mixins.py:180(<setcomp>)
       95    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\core\construction.py:354(extract_array)
       98    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\core\indexes\base.py:5953(maybe_extract_name)
      189    0.000    0.000    0.001    0.000 C:\Python39\lib\abc.py:96(__instancecheck__)
       14    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\openpyxl\worksheet\page.py:167(__init__)
      364    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\openpyxl\styles\numbers.py:112(is_timedelta_format)
       48    0.000    0.000    0.001    0.000 {built-in method builtins.sum}
       49    0.000    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      546    0.000    0.000    0.001    0.000 C:\Python39\lib\zipfile.py:460(_decodeExtra)
       14    0.000    0.000    0.001    0.000 C:\Python39\lib\distutils\version.py:69(__ge__)
     2184    0.001    0.000    0.001    0.000 {method 'read' of '_io.BytesIO' objects}
      322    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\openpyxl\descriptors\base.py:245(__set__)
      280    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\openpyxl\utils\cell.py:115(column_index_from_string)
        7    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\core\nanops.py:442(nanany)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
      182    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\openpyxl\styles\colors.py:105(__iter__)
       49    0.000    0.000    0.001    0.000 C:\Python39\lib\site-packages\pandas\core\common.py:198(asarray_tuplesafe)
       70    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        7    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\pandas\core\reshape\concat.py:552(_get_concat_axis)
      490    0.000    0.000    0.000    0.000 C:\Python39\lib\posixpath.py:41(_get_sep)
       95    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\common.py:1307(is_float_dtype)
      196    0.000    0.000    0.000    0.000 C:\Python39\lib\zipfile.py:1425(getinfo)
       21    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\pandas\core\generic.py:5411(__finalize__)
       21    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\cast.py:1617(construct_1d_object_array_from_listlike)
      180    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\pandas\core\internals\managers.py:208(<genexpr>)
       21    0.000    0.000    0.000    0.000 C:\Python39\lib\distutils\version.py:51(__lt__)
      204    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\numpy\core\numerictypes.py:286(issubclass_)
       14    0.000    0.000    0.000    0.000 C:\Python39\lib\zipfile.py:213(_EndRecData64)
       42    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
       14    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\openpyxl\styles\cell_style.py:172(__init__)
       14    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\pandas\io\common.py:403(get_compression_method)
       35    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\pandas\io\common.py:126(_expand_user)
      105    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\concat.py:139(<genexpr>)
       70    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\common.py:703(is_integer_dtype)
        7    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\pandas\io\parsers.py:2591(_infer_columns)
       35    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\pandas\core\generic.py:188(__init__)
       14    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\pandas\io\parsers.py:1509(_maybe_dedup_names)
      308    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\openpyxl\descriptors\nested.py:38(from_tree)
      456    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\common.py:187(<lambda>)
      204    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\common.py:1575(get_dtype)
       35    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\missing.py:465(_array_equivalent_object)
       13    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\missing.py:635(<lambda>)
        7    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\pandas\io\parsers.py:2507(_exclude_implicit_index)
     1225    0.000    0.000    0.000    0.000 {built-in method math.isnan}
       25    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\pandas\core\internals\blocks.py:2520(is_bool)
      371    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\openpyxl\styles\cell_style.py:56(__hash__)
      196    0.000    0.000    0.000    0.000 C:\Python39\lib\zipfile.py:716(__init__)
       28    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\openpyxl\styles\fills.py:84(__init__)
        7    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\pandas\core\indexes\base.py:826(copy)
        7    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\openpyxl\workbook\protection.py:55(__init__)
       14    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\openpyxl\utils\datetime.py:38(from_ISO8601)
        7    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\pandas\core\nanops.py:243(_get_values)
        7    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\pandas\core\indexes\base.py:5947(default_index)
        7    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\pandas\io\parsers.py:824(_get_options_with_defaults)
      189    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
